"FACILITY_ID","POINT_ID","AIRPORT_CODE","AIRPORT_CODE2","AMTRAK_STATION_CODE","FERRY_TERMINAL_CODE","RAIL_ID","BIKE_ID","DATE_UPDATED","ADDRESS","CITY","STATE","ZIPCODE","METRO_AREA","FACILITY_NAME","LONGITUDE","LATITUDE","POINT_LON","POINT_LAT","FACILITY_TYPE","FERRY_TRANSIT","FERRY_INTERCITY","BUS_TRANSIT","BUS_INTERCITY","BUS_CODE_SHARE","BUS_SUPPLEMENTAL","RAIL_INTERCITY","RAIL_COMMUTER","RAIL_HEAVY","RAIL_LIGHT","AIR_SERVICE","BIKE_SHARE","BIKE_SYSTEM_ID","BIKE_SYSTEM","WEBSITE","NOTES","DATA_SOURCE","INTERCITY_SERVICE","TRANSIT_SERVICE","CBSA_CODE","CBSA_TYPE","MODES_SERVING","MODE_BUS","MODE_AIR","MODE_RAIL","MODE_FERRY","MODE_BIKE",
"DC2059101",8198,"","","",,"","31504",2016-07-05,"10th & Monroe St NE","Washington","DC","20591","Washington-Arlington-Alexandria DC-VA-MD-WV","10th & Monroe St NE",-76.992889,38.932514,-76.992889,38.932514,12,3,3,1,0,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2059201",8199,"","","",,"","31505",2016-07-05,"Eckington Pl & Q St NE","Washington","DC","20592","Washington-Arlington-Alexandria DC-VA-MD-WV","Eckington Pl & Q St NE",-77.004950,38.910972,-77.004950,38.910972,12,3,3,1,0,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2059301",8200,"","","",,"","31615",2016-07-05,"6th & H St NE","Washington","DC","20593","Washington-Arlington-Alexandria DC-VA-MD-WV","6th & H St NE",-76.998347,38.899972,-76.998347,38.899972,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2059401",8201,"","","",,"","31616",2016-07-05,"3rd & H St NE","Washington","DC","20594","Washington-Arlington-Alexandria DC-VA-MD-WV","3rd & H St NE",-77.001949,38.900412,-77.001949,38.900412,12,3,3,1,2,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2059501",8202,"","","",,"","31617",2016-07-05,"Bladensburg Rd & Benning Rd NE","Washington","DC","20595","Washington-Arlington-Alexandria DC-VA-MD-WV","Bladensburg Rd & Benning Rd NE",-76.982872,38.900413,-76.982872,38.900413,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2059601",8203,"","","",,"","31618",2016-07-05,"4th & East Capitol St NE","Washington","DC","20596","Washington-Arlington-Alexandria DC-VA-MD-WV","4th & East Capitol St NE",-77.000349,38.889955,-77.000349,38.889955,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2059701",8204,"","","",,"","31619",2016-07-05,"Lincoln Park / 13th & East Capitol St NE","Washington","DC","20597","Washington-Arlington-Alexandria DC-VA-MD-WV","Lincoln Park / 13th & East Capitol St NE",-76.988355,38.890461,-76.988355,38.890461,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2059801",8205,"","","",,"","31701",2016-07-05,"Branch & Pennsylvania Ave SE","Washington","DC","20598","Washington-Arlington-Alexandria DC-VA-MD-WV","Branch & Pennsylvania Ave SE",-76.959900,38.869200,-76.959900,38.869200,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2059901",8206,"","","",,"","31622",2016-07-05,"13th & D St NE","Washington","DC","20599","Washington-Arlington-Alexandria DC-VA-MD-WV","13th & D St NE",-76.987633,38.894832,-76.987633,38.894832,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2060001",8207,"","","",,"","31229",2016-07-05,"New Hampshire Ave & T St NW","Washington","DC","20600","Washington-Arlington-Alexandria DC-VA-MD-WV","New Hampshire Ave & T St NW",-77.038180,38.915540,-77.038180,38.915540,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2060101",1796,"","","",,"","31230",2016-07-05,"Metro Center / 12th & G St NW","Washington","DC","20601","Washington-Arlington-Alexandria DC-VA-MD-WV","Metro Center / 12th & G St NW",-77.027869,38.898364,-77.028136,38.898063,12,3,3,1,0,0,0,0,0,1,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,3,1,0,1,0,1,
"DC2060201",8208,"","","",,"","31231",2016-07-05,"14th & D St NW / Ronald Reagan Building","Washington","DC","20602","Washington-Arlington-Alexandria DC-VA-MD-WV","14th & D St NW / Ronald Reagan Building",-77.031617,38.894514,-77.031617,38.894514,12,3,3,1,0,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2060301",8209,"","","",,"","31232",2016-07-05,"7th & F St NW / National Portrait Gallery","Washington","DC","20603","Washington-Arlington-Alexandria DC-VA-MD-WV","7th & F St NW / National Portrait Gallery",-77.022322,38.897324,-77.022322,38.897324,12,3,3,1,2,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2060401",1819,"","","",,"","31233",2016-07-05,"17th & K St NW / Farragut Square","Washington","DC","20604","Washington-Arlington-Alexandria DC-VA-MD-WV","17th & K St NW / Farragut Square",-77.038322,38.902061,-77.039211,38.903010,12,3,3,1,0,0,0,0,0,1,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,3,1,0,1,0,1,
"DC2060501",8210,"","","",,"","31234",2016-07-05,"20th & O St NW / Dupont South","Washington","DC","20605","Washington-Arlington-Alexandria DC-VA-MD-WV","20th & O St NW / Dupont South",-77.044780,38.908905,-77.044780,38.908905,12,3,3,1,2,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2060601",8211,"","","",,"","31621",2016-07-05,"4th & D St NW / Judiciary Square","Washington","DC","20606","Washington-Arlington-Alexandria DC-VA-MD-WV","4th & D St NW / Judiciary Square",-77.016106,38.895344,-77.016106,38.895344,12,3,3,1,0,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2060701",8212,"","","",,"","31235",2016-07-05,"19th St & Constitution Ave NW","Washington","DC","20607","Washington-Arlington-Alexandria DC-VA-MD-WV","19th St & Constitution Ave NW",-77.043600,38.892300,-77.043600,38.892300,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2060801",8213,"","","",,"","31236",2016-07-05,"37th & O St NW / Georgetown University","Washington","DC","20608","Washington-Arlington-Alexandria DC-VA-MD-WV","37th & O St NW / Georgetown University",-77.071652,38.907740,-77.071652,38.907740,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2060901",8214,"","","",,"","31614",2016-07-05,"11th & H St NE","Washington","DC","20609","Washington-Arlington-Alexandria DC-VA-MD-WV","11th & H St NE",-76.991383,38.899983,-76.991383,38.899983,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2061001",8215,"","","",,"","31237",2016-07-05,"25th St & Pennsylvania Ave NW","Washington","DC","20610","Washington-Arlington-Alexandria DC-VA-MD-WV","25th St & Pennsylvania Ave NW",-77.053485,38.903827,-77.053485,38.903827,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2061101",113,"","","",,"","31623",2016-07-05,"Columbus Circle / Union Station","Washington","DC","20611","Washington-Arlington-Alexandria DC-VA-MD-WV","Columbus Circle / Union Station",-77.004930,38.896960,-77.006404,38.897717,12,3,3,1,1,1,1,1,1,1,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",1,1,47900,1,3,1,0,1,0,1,
"DC2061201",8216,"","","",,"","31624",2016-07-05,"North Capitol St & F St NW","Washington","DC","20612","Washington-Arlington-Alexandria DC-VA-MD-WV","North Capitol St & F St NW",-77.009888,38.897446,-77.009888,38.897446,12,3,3,1,2,2,2,2,2,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
